,Beta,ROI,Subj,Condition,Volume
665,-0.0338304,PPA,503,Fo,15
666,0.0729424,PPA,503,Fo,16
667,0.117102,PPA,503,Fo,17
668,0.0222106,PPA,503,Fo,18
669,0.15201,PPA,503,Fo,19
670,0.0636537,PPA,503,Fo,20
671,0.0130075,PPA,503,Fo,21
672,0.224523,PPA,503,Fp,1
673,0.00930009,PPA,503,Fp,2
674,-0.0690323,PPA,503,Fp,3
675,-0.194629,PPA,503,Fp,4
676,-0.16533,PPA,503,Fp,5
677,-0.150207,PPA,503,Fp,6
678,-0.22265,PPA,503,Fp,7
679,-0.16013,PPA,503,Fp,8
680,-0.129361,PPA,503,Fp,9
681,0.00764294,PPA,503,Fp,10
682,0.0223377,PPA,503,Fp,11
683,-0.0718498,PPA,503,Fp,12
684,-0.101198,PPA,503,Fp,13
685,-0.143361,PPA,503,Fp,14
686,-0.0596013,PPA,503,Fp,15
687,0.00345895,PPA,503,Fp,16
688,-0.0432734,PPA,503,Fp,17
689,-0.076759,PPA,503,Fp,18
690,-0.0814243,PPA,503,Fp,19
691,-0.0248817,PPA,503,Fp,20
692,-0.0404244,PPA,503,Fp,21
693,0.0589071,PPA,503,HF,1
694,0.0349422,PPA,503,HF,2
695,0.0401878,PPA,503,HF,3
696,0.0649924,PPA,503,HF,4
697,0.113422,PPA,503,HF,5
698,0.0422155,PPA,503,HF,6
699,0.0904296,PPA,503,HF,7
700,0.104171,PPA,503,HF,8
701,0.0263356,PPA,503,HF,9
702,0.0459511,PPA,503,HF,10
703,0.0764906,PPA,503,HF,11
704,0.143148,PPA,503,HF,12
705,0.194094,PPA,503,HF,13
706,0.114774,PPA,503,HF,14
707,0.1364,PPA,503,HF,15
708,0.134707,PPA,503,HF,16
709,0.0518442,PPA,503,HF,17
710,-0.0435409,PPA,503,HF,18
711,0.00376393,PPA,503,HF,19
712,-0.0619639,PPA,503,HF,20
713,-0.0188793,PPA,503,HF,21
714,0.0244403,PPA,503,Ho,1
715,-0.105689,PPA,503,Ho,2
716,-0.00362508,PPA,503,Ho,3
717,0.12641,PPA,503,Ho,4
718,0.156334,PPA,503,Ho,5
719,0.160796,PPA,503,Ho,6
720,0.153333,PPA,503,Ho,7
721,0.141285,PPA,503,Ho,8
