,Time,Subject,Condition,MotorMapping,Run,FFA,PPA,RH,LH
325,20,503,FH,2,2,-0.83098,-0.983018,0.483893,-0.197494
326,21,503,FH,2,2,-0.230933,-0.0425579,0.142812,-0.440104
327,22,503,FH,2,2,-0.285478,-0.413288,-0.516155,0.0397399
328,23,503,FH,2,2,-0.233102,0.153882,-0.377866,0.0868042
329,24,503,FH,2,2,0.0658247,0.327666,-0.184867,0.140192
330,25,503,FH,2,2,-0.487487,-0.439582,-0.342134,0.0804831
331,26,503,FH,2,2,-1.21163,-0.274964,-0.0054636,0.0888104
332,27,503,FH,2,2,-1.35322,-0.4498,0.0923965,0.155419
333,28,503,FH,2,2,-1.09102,0.0693296,0.645264,0.0050416
334,29,503,FH,2,2,-1.07466,0.933691,0.314639,0.326614
335,30,503,FH,2,2,-1.12214,-0.606086,0.0882283,0.162672
336,31,503,FH,2,2,-0.686131,0.248938,0.0892608,-0.333229
337,32,503,FH,2,2,-0.546522,-0.250253,0.0286985,-0.0731315
338,33,503,FH,2,2,-0.279521,-0.0794111,-0.126676,-0.442216
339,34,503,FH,2,2,0.603972,0.128409,-0.0773821,-0.0860728
340,35,503,FH,2,2,0.770452,0.0704082,0.0177614,0.33187
341,36,503,FH,2,2,0.282272,-0.60562,-0.360169,0.255701
342,37,503,FH,2,2,0.595999,-0.0534989,-0.408351,0.148392
343,38,503,FH,2,2,-0.28664,-0.208972,-0.0240508,0.163134
344,39,503,FH,2,2,0.137013,0.08845,-0.276041,-0.155737
345,40,503,FH,2,2,-0.842939,-0.0284973,0.0923219,0.380795
346,41,503,FH,2,2,-0.398301,0.219944,-0.067895,-0.106543
347,42,503,FH,2,2,-0.648699,0.0579912,-0.0619607,0.127613
348,43,503,FH,2,2,-1.28677,0.238522,0.455169,0.173393
349,44,503,FH,2,2,-0.405671,-0.0895199,0.764595,-0.118591
350,45,503,FH,2,2,-0.061851,0.0996444,0.325095,-0.560706
351,46,503,FH,2,2,0.057578,-0.181247,0.0146399,-0.0282672
352,47,503,FH,2,2,0.0180213,0.37692,-0.294321,0.0372817
353,48,503,FH,2,2,0.367999,0.107006,-0.177739,0.376195
354,49,503,FH,2,2,0.236247,0.117553,0.401305,0.65653
355,50,503,FH,2,2,0.028015,0.18508,0.315087,0.726197
356,51,503,FH,2,2,-0.355527,0.153858,0.436533,0.545653
357,52,503,FH,2,2,0.384276,0.616975,0.247989,0.0363001
358,53,503,FH,2,2,0.790413,-0.586471,-0.0344115,-0.343555
359,54,503,FH,2,2,1.90755,0.13506,-0.477039,-1.18425
360,55,503,FH,2,2,1.28201,0.340157,0.0945745,0.277419
361,56,503,FH,2,2,-0.00966207,-0.0249033,0.0547118,-0.0300741
362,57,503,FH,2,2,1.21999,0.271106,-0.359056,-0.305015
363,58,503,FH,2,2,0.890065,-0.201304,-0.277711,-0.133795
364,59,503,FH,2,2,2.07562,0.495696,-0.287858,-0.489112
365,60,503,FH,2,2,1.12989,-0.180479,-0.548394,0.165277
366,61,503,FH,2,2,0.162146,-0.362878,-0.282073,-0.245218
367,62,503,FH,2,2,0.0055498,-0.363411,-0.532364,-0.399292
368,63,503,FH,2,2,-1.00468,-0.278198,-0.280281,0.191281
369,64,503,FH,2,2,-0.529986,-0.519157,-0.00118022,0.19765
370,65,503,FH,2,2,-0.50802,-0.596646,0.400348,-0.0644571
371,66,503,FH,2,2,-0.697349,-0.624499,-0.0989787,0.113976
372,67,503,FH,2,2,0.0311033,0.141447,0.0619873,-0.300171
373,68,503,FH,2,2,0.0906152,-0.154987,0.202161,0.152844
374,69,503,FH,2,2,-0.0104969,-0.0982178,-0.142344,0.227851
375,70,503,FH,2,2,-0.48112,-0.0489854,0.533782,-0.134238
376,71,503,FH,2,2,-0.311443,-0.472983,0.819693,-0.140966
377,72,503,FH,2,2,-0.0514036,0.321088,0.633402,-0.428148
378,73,503,FH,2,2,0.393448,-0.193791,0.604881,-0.296452
379,74,503,FH,2,2,1.33736,0.43175,-0.0302849,-0.172283
380,75,503,FH,2,2,0.819378,-0.176991,-0.0103672,0.0546381
381,76,503,FH,2,2,0.227024,0.726624,0.0077695,0.261362
382,77,503,FH,2,2,0.138457,0.589608,-0.181693,0.381265
383,78,503,FH,2,2,0.322612,0.547886,-0.564902,-0.0255583
